kernel,waitcnt_line,waitcnt_kind,original_hazards,mutant_hazards,new_hazard_detected,mutant_asm_path
accum_add_16,17,lgkmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] Load result used without synchronisation primitives. This may return stale data on bare metal. Use s_waitcnt to avoid stale loads.x16 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,yes,tests/mutation/mutants/accum_add_16__L17.s
accum_add_16,47,lgkmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] Load result used without synchronisation primitives. This may return stale data on bare metal. Use s_waitcnt to avoid stale loads.x18 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,yes,tests/mutation/mutants/accum_add_16__L47.s
accum_add_16,80,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v17x32 | [HAZARD] read of v16x32,yes,tests/mutation/mutants/accum_add_16__L80.s
accum_add_16,82,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v18x32 | [HAZARD] read of v19x32,yes,tests/mutation/mutants/accum_add_16__L82.s
accum_add_16,85,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x64 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v20x32,yes,tests/mutation/mutants/accum_add_16__L85.s
accum_add_16,87,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v13x32 | [HAZARD] read of v14x32,yes,tests/mutation/mutants/accum_add_16__L87.s
accum_add_16,90,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v15x32 | [HAZARD] read of v21x32,yes,tests/mutation/mutants/accum_add_16__L90.s
accum_add_16,92,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] read of v6x64 | [HAZARD] read of v2x32 | [HAZARD] read of v22x32,yes,tests/mutation/mutants/accum_add_16__L92.s
accum_add_16,95,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v7x32 | [HAZARD] read of v8x32,yes,tests/mutation/mutants/accum_add_16__L95.s
accum_add_16,97,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x128 | [HAZARD] read of v3x32 | [HAZARD] overwrite of v2x32,yes,tests/mutation/mutants/accum_add_16__L97.s
accum_add_32,20,lgkmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] Load result used without synchronisation primitives. This may return stale data on bare metal. Use s_waitcnt to avoid stale loads.x40 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,yes,tests/mutation/mutants/accum_add_32__L20.s
accum_add_32,86,lgkmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] Load result used without synchronisation primitives. This may return stale data on bare metal. Use s_waitcnt to avoid stale loads.x26 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,yes,tests/mutation/mutants/accum_add_32__L86.s
accum_add_32,132,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v15x32 | [HAZARD] read of v14x32,yes,tests/mutation/mutants/accum_add_32__L132.s
accum_add_32,134,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v16x32 | [HAZARD] read of v17x32,yes,tests/mutation/mutants/accum_add_32__L134.s
accum_add_32,137,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x64 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v18x32,yes,tests/mutation/mutants/accum_add_32__L137.s
accum_add_32,139,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v13x32 | [HAZARD] read of v19x32,yes,tests/mutation/mutants/accum_add_32__L139.s
accum_add_32,142,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v20x32 | [HAZARD] read of v21x32,yes,tests/mutation/mutants/accum_add_32__L142.s
