kernel,family,num_hazards,hazard_messages
accum_add_16,accum_n_distinct,0,
accum_add_32,accum_n_distinct,0,
accum_add_4,accum_n_distinct,0,
accum_add_64,accum_n_distinct,0,
accum_add_8,accum_n_distinct,0,
accum_add_96,accum_n_distinct,0,
accum_and_16,accum_n_distinct,0,
accum_and_32,accum_n_distinct,0,
accum_and_4,accum_n_distinct,0,
accum_and_64,accum_n_distinct,0,
accum_and_8,accum_n_distinct,0,
accum_and_96,accum_n_distinct,0,
accum_or_16,accum_n_distinct,0,
accum_or_32,accum_n_distinct,0,
accum_or_4,accum_n_distinct,0,
accum_or_64,accum_n_distinct,0,
accum_or_8,accum_n_distinct,0,
accum_or_96,accum_n_distinct,0,
accum_sub_16,accum_n_distinct,0,
accum_sub_32,accum_n_distinct,0,
accum_sub_4,accum_n_distinct,0,
accum_sub_64,accum_n_distinct,0,
accum_sub_8,accum_n_distinct,0,
accum_sub_96,accum_n_distinct,0,
accum_xor_16,accum_n_distinct,0,
accum_xor_32,accum_n_distinct,0,
accum_xor_4,accum_n_distinct,0,
accum_xor_64,accum_n_distinct,0,
accum_xor_8,accum_n_distinct,0,
accum_xor_96,accum_n_distinct,0,
deep_chain_16,deep_chain,0,
deep_chain_32,deep_chain,0,
deep_chain_64,deep_chain,0,
load_compute_store_16,load_compute_store,0,
load_compute_store_4,load_compute_store,0,
load_compute_store_8,load_compute_store,0,
load_overwrite,load_overwrite,0,
loop_accum_add_128,loop_accum,0,
loop_accum_add_16,loop_accum,0,
loop_accum_add_32,loop_accum,0,
loop_accum_add_64,loop_accum,0,
loop_accum_add_8,loop_accum,0,
loop_accum_xor_128,loop_accum,0,
loop_accum_xor_16,loop_accum,0,
loop_accum_xor_32,loop_accum,0,
loop_accum_xor_64,loop_accum,0,
loop_accum_xor_8,loop_accum,0,
mixed_add_c0x2A_add_c1,mixed_const,0,
mixed_add_c0x2A_xor_c0x2A,mixed_const,0,
mixed_add_c0x2A_xor_c1,mixed_const,0,
mixed_add_c1_add_c0x2A,mixed_const,0,
mixed_add_c1_add_c1,mixed_const,0,
mixed_add_c1_xor_c0x2A,mixed_const,0,
mixed_add_c1_xor_c1,mixed_const,0,
mixed_xor_c0x2A_add_c0x2A,mixed_const,0,
mixed_xor_c0x2A_add_c1,mixed_const,0,
mixed_xor_c0x2A_xor_c0x2A,mixed_const,0,
mixed_xor_c0x2A_xor_c1,mixed_const,0,
mixed_xor_c1_add_c0x2A,mixed_const,0,
mixed_xor_c1_add_c1,mixed_const,0,
mixed_xor_c1_xor_c0x2A,mixed_const,0,
mixed_xor_c1_xor_c1,mixed_const,0,
regs_pressure_32,regs_pressure,0,
regs_pressure_64,regs_pressure,0,
rmw_add_c0x2A,rmw,0,
rmw_add_c1,rmw,0,
rmw_add_c7,rmw,0,
rmw_and_c0x2A,rmw,0,
rmw_and_c1,rmw,0,
rmw_and_c7,rmw,0,
rmw_idx_add_c0x2A_i0,rmw_idx,0,
rmw_idx_add_c0x2A_i1,rmw_idx,0,
rmw_idx_add_c0x2A_i8,rmw_idx,0,
rmw_idx_add_c1_i0,rmw_idx,0,
rmw_idx_add_c1_i1,rmw_idx,0,
rmw_idx_add_c1_i8,rmw_idx,0,
rmw_idx_xor_c0x2A_i0,rmw_idx,0,
rmw_idx_xor_c0x2A_i1,rmw_idx,0,
rmw_idx_xor_c0x2A_i8,rmw_idx,0,
rmw_idx_xor_c1_i0,rmw_idx,0,
rmw_idx_xor_c1_i1,rmw_idx,0,
rmw_idx_xor_c1_i8,rmw_idx,0,
rmw_mul_c0x2A,rmw,0,
rmw_mul_c0xDEAD,rmw,0,
rmw_mul_c1,rmw,0,
rmw_mul_c7,rmw,0,
rmw_or_c0x2A,rmw,0,
rmw_or_c1,rmw,0,
rmw_or_c7,rmw,0,
rmw_sub_c1,rmw,0,
rmw_sub_c7,rmw,0,
rmw_xor_c0x2A,rmw,0,
rmw_xor_c1,rmw,0,
rmw_xor_c7,rmw,0,
store_chain_16,store_chain,0,
store_chain_32,store_chain,0,
store_chain_4,store_chain,0,
store_chain_64,store_chain,0,
store_chain_8,store_chain,0,
store_then_load,store_then_load,0,
storeload_c0x2A_c1,store_reload,0,
storeload_c0x2A_c7,store_reload,0,
storeload_c0xDEAD_c1,store_reload,0,
storeload_c0xDEAD_c7,store_reload,0,
storeload_c1_c1,store_reload,0,
storeload_c1_c7,store_reload,0,
two_buf_add,two_buf,0,
two_buf_and,two_buf,0,
two_buf_mul,two_buf,0,
two_buf_or,two_buf,0,
two_buf_sub,two_buf,0,
two_buf_xor,two_buf,0,
