kernel,n_attempted,n_completed,n_distinct_dumps,modal_dump_hash,modal_dump_freq,distinct_dumps_freqs_json
accum_add_32,100,100,1,4cbb1659c00bdeff65bfda2f21799e8ccb1319e6,100,"{""4cbb1659c00bdeff65bfda2f21799e8ccb1319e6"": 100}"
accum_add_96,100,100,1,4ec66632e089cc6fa6273011310a37f625d12dca,100,"{""4ec66632e089cc6fa6273011310a37f625d12dca"": 100}"
accum_and_16,100,100,1,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,100,"{""96d02e012b9aa9c62ccfd7b16dbecbc754878b21"": 100}"
accum_and_32,100,100,1,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,100,"{""96d02e012b9aa9c62ccfd7b16dbecbc754878b21"": 100}"
accum_and_4,100,100,1,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,100,"{""96d02e012b9aa9c62ccfd7b16dbecbc754878b21"": 100}"
accum_and_64,100,100,1,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,100,"{""96d02e012b9aa9c62ccfd7b16dbecbc754878b21"": 100}"
accum_and_8,100,100,1,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,100,"{""96d02e012b9aa9c62ccfd7b16dbecbc754878b21"": 100}"
accum_and_96,100,100,1,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,100,"{""96d02e012b9aa9c62ccfd7b16dbecbc754878b21"": 100}"
accum_or_16,100,100,1,6de921b0fbaaadb209b40f79329b1e500530a20c,100,"{""6de921b0fbaaadb209b40f79329b1e500530a20c"": 100}"
accum_or_32,100,100,1,b8eb9d65d3338fcf60773eab27b73109835e5854,100,"{""b8eb9d65d3338fcf60773eab27b73109835e5854"": 100}"
accum_or_64,100,100,1,32258f300335c796be438b4a26ff9025d6040b3a,100,"{""32258f300335c796be438b4a26ff9025d6040b3a"": 100}"
accum_sub_64,100,100,1,bd57ee79e7133bc0cb68a8a851d23a950ea85fca,100,"{""bd57ee79e7133bc0cb68a8a851d23a950ea85fca"": 100}"
accum_sub_96,100,100,1,405a4e0ac5b11e2461dd3f8f4641216d7e51f1b5,100,"{""405a4e0ac5b11e2461dd3f8f4641216d7e51f1b5"": 100}"
accum_xor_64,100,100,1,fd738fa600f634f9df10b7131c10d4aac8192927,100,"{""fd738fa600f634f9df10b7131c10d4aac8192927"": 100}"
accum_xor_96,100,100,1,080d7a3227028fa87d56a7511906c269b114d52a,100,"{""080d7a3227028fa87d56a7511906c269b114d52a"": 100}"
deep_chain_32,100,100,1,af2231b551392516bd61500af76193c38ad70dce,100,"{""af2231b551392516bd61500af76193c38ad70dce"": 100}"
deep_chain_64,100,100,1,af2231b551392516bd61500af76193c38ad70dce,100,"{""af2231b551392516bd61500af76193c38ad70dce"": 100}"
load_compute_store_4,100,100,1,acffb5702cf41ab06bbc8cf0ecf1a5bfc3cddf20,100,"{""acffb5702cf41ab06bbc8cf0ecf1a5bfc3cddf20"": 100}"
loop_accum_add_128,100,100,1,af2231b551392516bd61500af76193c38ad70dce,100,"{""af2231b551392516bd61500af76193c38ad70dce"": 100}"
loop_accum_add_16,100,100,1,af2231b551392516bd61500af76193c38ad70dce,100,"{""af2231b551392516bd61500af76193c38ad70dce"": 100}"
loop_accum_add_32,100,100,1,af2231b551392516bd61500af76193c38ad70dce,100,"{""af2231b551392516bd61500af76193c38ad70dce"": 100}"
loop_accum_add_64,100,100,1,af2231b551392516bd61500af76193c38ad70dce,100,"{""af2231b551392516bd61500af76193c38ad70dce"": 100}"
loop_accum_xor_128,100,100,1,af2231b551392516bd61500af76193c38ad70dce,100,"{""af2231b551392516bd61500af76193c38ad70dce"": 100}"
loop_accum_xor_32,100,100,1,af2231b551392516bd61500af76193c38ad70dce,100,"{""af2231b551392516bd61500af76193c38ad70dce"": 100}"
regs_pressure_32,100,100,1,a8efe666c77ed18d260c423da851bf914ec3ae36,100,"{""a8efe666c77ed18d260c423da851bf914ec3ae36"": 100}"
regs_pressure_64,100,100,1,474eef46027fd61a1d555000af12cb7f6f0ebf4b,100,"{""474eef46027fd61a1d555000af12cb7f6f0ebf4b"": 100}"
