iter,role,kernel,waitcnt_line,kind,rc,outcome,dump_hash,n_divergent_lanes,diff_summary
0,mutant,accum_xor_64,253,lgkmcnt,0,diverge,21754c5f2157b94d3ede8901a5f51fc450ea50e7,32,v5 lane00 orig=00000800 mut=00000000 (32 lanes differ)
0,mutant,loop_accum_xor_32,62,vmcnt,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
0,mutant,loop_accum_add_32,90,vmcnt,0,diverge,fddc4eb6f262374a480805fd2696dc7721419bf8,0,
0,mutant,accum_sub_64,265,vmcnt,0,match,bd57ee79e7133bc0cb68a8a851d23a950ea85fca,0,
0,mutant,accum_and_16,110,vmcnt,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
0,original,accum_and_64,,,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
0,mutant,loop_accum_add_64,163,vmcnt,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
0,mutant,accum_and_64,345,vmcnt,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
0,mutant,accum_or_64,253,lgkmcnt,0,diverge,b8eb9d65d3338fcf60773eab27b73109835e5854,32,v5 lane00 orig=dead0fe0 mut=dead07e0 (32 lanes differ)
0,mutant,accum_or_32,147,vmcnt,0,match,b8eb9d65d3338fcf60773eab27b73109835e5854,0,
0,mutant,accum_and_8,63,vmcnt,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
0,mutant,accum_sub_64,320,vmcnt,0,match,bd57ee79e7133bc0cb68a8a851d23a950ea85fca,0,
0,mutant,accum_sub_64,310,vmcnt,0,match,bd57ee79e7133bc0cb68a8a851d23a950ea85fca,0,
0,mutant,accum_add_32,157,vmcnt,0,match,4cbb1659c00bdeff65bfda2f21799e8ccb1319e6,0,
0,original,accum_xor_64,,,0,match,fd738fa600f634f9df10b7131c10d4aac8192927,0,
0,mutant,loop_accum_add_64,123,vmcnt,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
0,mutant,accum_and_96,478,vmcnt,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
0,original,load_compute_store_4,,,0,match,acffb5702cf41ab06bbc8cf0ecf1a5bfc3cddf20,0,
0,original,loop_accum_xor_32,,,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
0,mutant,loop_accum_add_32,62,vmcnt,0,diverge,ebe0365ee8263e1a039803e75e07e208d5fa958b,32,v5 lane00 orig=dead0020 mut=dead0022 (32 lanes differ)
0,mutant,accum_and_4,44,vmcnt,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
0,mutant,accum_and_32,164,vmcnt,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
0,mutant,deep_chain_64,168,vmcnt,0,diverge,5648dd274a289886bae27932928cfd0d4cae2bf1,31,v5 lane01 orig=dead0021 mut=dead0024 (31 lanes differ)
0,original,accum_and_32,,,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
0,mutant,regs_pressure_64,216,vmcnt,0,match,474eef46027fd61a1d555000af12cb7f6f0ebf4b,0,
0,mutant,loop_accum_add_64,166,vmcnt,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
0,mutant,loop_accum_xor_32,80,vmcnt,0,diverge,8dc5982b220688411d6f2e21cb7ed12057546a99,0,
0,mutant,accum_sub_64,253,lgkmcnt,0,diverge,e245226844609cde19748f602da81a29e56c167f,32,v5 lane00 orig=54befc00 mut=54bf0400 (32 lanes differ)
0,original,accum_add_32,,,0,match,4cbb1659c00bdeff65bfda2f21799e8ccb1319e6,0,
0,original,accum_or_64,,,0,match,32258f300335c796be438b4a26ff9025d6040b3a,0,
0,mutant,load_compute_store_4,41,lgkmcnt,0,match,acffb5702cf41ab06bbc8cf0ecf1a5bfc3cddf20,0,
0,mutant,loop_accum_add_16,49,vmcnt,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
0,mutant,accum_sub_64,307,vmcnt,0,match,bd57ee79e7133bc0cb68a8a851d23a950ea85fca,0,
0,original,regs_pressure_64,,,0,match,474eef46027fd61a1d555000af12cb7f6f0ebf4b,0,
0,original,accum_xor_96,,,0,match,080d7a3227028fa87d56a7511906c269b114d52a,0,
0,original,deep_chain_64,,,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
0,mutant,accum_and_64,323,vmcnt,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
0,mutant,accum_sub_96,151,lgkmcnt,0,match,405a4e0ac5b11e2461dd3f8f4641216d7e51f1b5,0,
0,original,accum_add_96,,,0,match,4ec66632e089cc6fa6273011310a37f625d12dca,0,
0,original,loop_accum_add_128,,,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
0,mutant,accum_or_64,295,vmcnt,0,match,32258f300335c796be438b4a26ff9025d6040b3a,0,
0,original,accum_sub_64,,,0,match,bd57ee79e7133bc0cb68a8a851d23a950ea85fca,0,
0,mutant,loop_accum_xor_128,286,vmcnt,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
0,mutant,accum_and_32,182,vmcnt,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
0,mutant,accum_and_64,420,vmcnt,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
0,mutant,loop_accum_xor_32,82,vmcnt,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
0,original,accum_sub_96,,,0,match,405a4e0ac5b11e2461dd3f8f4641216d7e51f1b5,0,
0,mutant,loop_accum_xor_128,238,vmcnt,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
0,mutant,accum_and_64,375,vmcnt,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
0,original,accum_or_16,,,0,match,6de921b0fbaaadb209b40f79329b1e500530a20c,0,
0,original,accum_and_4,,,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
0,mutant,accum_sub_64,335,vmcnt,0,match,bd57ee79e7133bc0cb68a8a851d23a950ea85fca,0,
0,mutant,accum_add_96,432,vmcnt,0,match,4ec66632e089cc6fa6273011310a37f625d12dca,0,
0,mutant,regs_pressure_64,136,vmcnt,0,match,474eef46027fd61a1d555000af12cb7f6f0ebf4b,0,
0,original,accum_or_32,,,0,match,b8eb9d65d3338fcf60773eab27b73109835e5854,0,
0,original,loop_accum_add_64,,,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
0,original,accum_and_96,,,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
0,mutant,accum_sub_64,322,vmcnt,0,match,bd57ee79e7133bc0cb68a8a851d23a950ea85fca,0,
0,mutant,regs_pressure_64,166,vmcnt,0,match,474eef46027fd61a1d555000af12cb7f6f0ebf4b,0,
0,original,accum_and_8,,,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
0,mutant,accum_or_64,337,vmcnt,0,match,32258f300335c796be438b4a26ff9025d6040b3a,0,
0,original,loop_accum_add_16,,,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
0,mutant,loop_accum_add_128,273,vmcnt,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
0,mutant,deep_chain_32,169,vmcnt,0,diverge,c5ee2d41f9065b3c9dcebe98f454ca918f609dd2,32,v5 lane00 orig=dead0020 mut=3eff6dba (32 lanes differ)
0,mutant,loop_accum_xor_128,281,vmcnt,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
0,original,loop_accum_add_32,,,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
0,mutant,accum_or_64,330,vmcnt,0,match,32258f300335c796be438b4a26ff9025d6040b3a,0,
0,mutant,regs_pressure_32,99,vmcnt,0,match,a8efe666c77ed18d260c423da851bf914ec3ae36,0,
0,mutant,accum_sub_96,477,vmcnt,0,match,405a4e0ac5b11e2461dd3f8f4641216d7e51f1b5,0,
0,mutant,loop_accum_add_32,60,vmcnt,0,diverge,8e9218977933722e424bc29cb26899f7added4d8,0,
0,mutant,accum_or_16,95,vmcnt,0,match,6de921b0fbaaadb209b40f79329b1e500530a20c,0,
0,original,regs_pressure_32,,,0,match,a8efe666c77ed18d260c423da851bf914ec3ae36,0,
0,mutant,accum_xor_96,410,vmcnt,0,match,080d7a3227028fa87d56a7511906c269b114d52a,0,
0,original,deep_chain_32,,,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
0,original,accum_and_16,,,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
0,original,loop_accum_xor_128,,,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
0,mutant,regs_pressure_64,151,vmcnt,0,match,474eef46027fd61a1d555000af12cb7f6f0ebf4b,0,
1,original,accum_add_96,,,0,match,4ec66632e089cc6fa6273011310a37f625d12dca,0,
1,original,accum_xor_64,,,0,match,fd738fa600f634f9df10b7131c10d4aac8192927,0,
1,mutant,accum_sub_64,320,vmcnt,0,match,bd57ee79e7133bc0cb68a8a851d23a950ea85fca,0,
1,mutant,accum_and_16,110,vmcnt,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
1,original,regs_pressure_64,,,0,match,474eef46027fd61a1d555000af12cb7f6f0ebf4b,0,
1,mutant,accum_sub_64,307,vmcnt,0,match,bd57ee79e7133bc0cb68a8a851d23a950ea85fca,0,
1,original,loop_accum_xor_32,,,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
1,mutant,regs_pressure_64,216,vmcnt,0,match,474eef46027fd61a1d555000af12cb7f6f0ebf4b,0,
1,mutant,regs_pressure_64,151,vmcnt,0,match,474eef46027fd61a1d555000af12cb7f6f0ebf4b,0,
1,mutant,regs_pressure_64,136,vmcnt,0,match,474eef46027fd61a1d555000af12cb7f6f0ebf4b,0,
1,mutant,loop_accum_add_64,166,vmcnt,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
1,original,accum_add_32,,,0,match,4cbb1659c00bdeff65bfda2f21799e8ccb1319e6,0,
1,original,deep_chain_64,,,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
1,original,accum_or_32,,,0,match,b8eb9d65d3338fcf60773eab27b73109835e5854,0,
1,original,loop_accum_add_16,,,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
1,mutant,accum_or_64,253,lgkmcnt,0,diverge,b8eb9d65d3338fcf60773eab27b73109835e5854,32,v5 lane00 orig=dead0fe0 mut=dead07e0 (32 lanes differ)
1,original,accum_and_8,,,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
1,mutant,accum_and_32,182,vmcnt,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
1,mutant,accum_and_64,323,vmcnt,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
1,mutant,loop_accum_xor_32,80,vmcnt,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
1,mutant,load_compute_store_4,41,lgkmcnt,0,match,acffb5702cf41ab06bbc8cf0ecf1a5bfc3cddf20,0,
1,mutant,accum_sub_96,151,lgkmcnt,0,match,405a4e0ac5b11e2461dd3f8f4641216d7e51f1b5,0,
1,original,load_compute_store_4,,,0,match,acffb5702cf41ab06bbc8cf0ecf1a5bfc3cddf20,0,
1,original,accum_and_4,,,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
1,original,accum_sub_96,,,0,match,405a4e0ac5b11e2461dd3f8f4641216d7e51f1b5,0,
1,mutant,loop_accum_xor_32,82,vmcnt,0,diverge,7beaba505f0944a97068499b7ff208dc21f3a9b7,0,
1,original,accum_sub_64,,,0,match,bd57ee79e7133bc0cb68a8a851d23a950ea85fca,0,
1,original,loop_accum_xor_128,,,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
1,mutant,accum_and_4,44,vmcnt,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
1,mutant,accum_sub_96,477,vmcnt,0,match,405a4e0ac5b11e2461dd3f8f4641216d7e51f1b5,0,
1,mutant,accum_sub_64,310,vmcnt,0,match,bd57ee79e7133bc0cb68a8a851d23a950ea85fca,0,
1,mutant,regs_pressure_32,99,vmcnt,0,match,a8efe666c77ed18d260c423da851bf914ec3ae36,0,
1,mutant,accum_sub_64,253,lgkmcnt,0,diverge,e245226844609cde19748f602da81a29e56c167f,32,v5 lane00 orig=54befc00 mut=54bf0400 (32 lanes differ)
1,original,loop_accum_add_128,,,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
1,mutant,accum_xor_96,410,vmcnt,0,match,080d7a3227028fa87d56a7511906c269b114d52a,0,
1,mutant,deep_chain_32,169,vmcnt,0,diverge,7e49dda67794bb7c7f80deb8aacd04236b5f6c99,32,v5 lane00 orig=dead0020 mut=3eff6dba (32 lanes differ)
1,mutant,loop_accum_add_64,123,vmcnt,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
