waitcnt_kind,hazard_fired,bare_metal,count,meaning
lgkmcnt,yes,diverge,70,true_positive
lgkmcnt,yes,match,29,compiler_contract_violation_no_observable_corruption
lgkmcnt,yes,skip,68,undetermined_skip
lgkmcnt,no,diverge,0,missed_hazard
lgkmcnt,no,match,0,true_negative
lgkmcnt,no,skip,0,undetermined_skip
vmcnt,yes,diverge,207,true_positive
vmcnt,yes,match,694,compiler_contract_violation_no_observable_corruption
vmcnt,yes,skip,35,undetermined_skip
vmcnt,no,diverge,0,missed_hazard
vmcnt,no,match,0,true_negative
vmcnt,no,skip,0,undetermined_skip
