mutant_id,kernel,family,deleted_line,deleted_inst,waitcnt_kind,vmcnt,vlq_count,plq_count,ds_pending,vscnt,classification,bm_outcome
accum_add_16__L80,accum_add_16,accum_n_distinct,80,s_waitcnt vmcnt(14),vmcnt,16,16,0,0,0,load_bearing,match
accum_add_16__L82,accum_add_16,accum_n_distinct,82,s_waitcnt vmcnt(12),vmcnt,14,14,0,0,0,load_bearing,match
accum_add_16__L85,accum_add_16,accum_n_distinct,85,s_waitcnt vmcnt(10),vmcnt,12,12,0,0,0,load_bearing,divergent
accum_add_16__L87,accum_add_16,accum_n_distinct,87,s_waitcnt vmcnt(8),vmcnt,10,10,0,0,0,load_bearing,match
accum_add_16__L90,accum_add_16,accum_n_distinct,90,s_waitcnt vmcnt(6),vmcnt,8,8,0,0,0,load_bearing,divergent
accum_add_16__L92,accum_add_16,accum_n_distinct,92,s_waitcnt vmcnt(4),vmcnt,6,6,0,0,0,load_bearing,match
accum_add_16__L95,accum_add_16,accum_n_distinct,95,s_waitcnt vmcnt(2),vmcnt,4,4,0,0,0,load_bearing,match
accum_add_16__L97,accum_add_16,accum_n_distinct,97,s_waitcnt vmcnt(0),vmcnt,2,2,0,0,0,load_bearing,match
accum_add_32__L86,accum_add_32,accum_n_distinct,86,s_waitcnt lgkmcnt(0),lgkmcnt,15,15,4,0,0,load_bearing,match
accum_add_32__L132,accum_add_32,accum_n_distinct,132,s_waitcnt vmcnt(30),vmcnt,32,32,0,0,0,load_bearing,match
accum_add_32__L134,accum_add_32,accum_n_distinct,134,s_waitcnt vmcnt(28),vmcnt,30,30,0,0,0,load_bearing,match
accum_add_32__L137,accum_add_32,accum_n_distinct,137,s_waitcnt vmcnt(26),vmcnt,28,28,0,0,0,load_bearing,match
accum_add_32__L139,accum_add_32,accum_n_distinct,139,s_waitcnt vmcnt(24),vmcnt,26,26,0,0,0,load_bearing,match
accum_add_32__L142,accum_add_32,accum_n_distinct,142,s_waitcnt vmcnt(22),vmcnt,24,24,0,0,0,load_bearing,match
accum_add_32__L144,accum_add_32,accum_n_distinct,144,s_waitcnt vmcnt(20),vmcnt,22,22,0,0,0,load_bearing,match
accum_add_32__L147,accum_add_32,accum_n_distinct,147,s_waitcnt vmcnt(18),vmcnt,20,20,0,0,0,load_bearing,match
accum_add_32__L149,accum_add_32,accum_n_distinct,149,s_waitcnt vmcnt(16),vmcnt,18,18,0,0,0,load_bearing,match
accum_add_32__L152,accum_add_32,accum_n_distinct,152,s_waitcnt vmcnt(14),vmcnt,16,16,0,0,0,load_bearing,match
accum_add_32__L154,accum_add_32,accum_n_distinct,154,s_waitcnt vmcnt(12),vmcnt,14,14,0,0,0,load_bearing,match
accum_add_32__L157,accum_add_32,accum_n_distinct,157,s_waitcnt vmcnt(10),vmcnt,12,12,0,0,0,load_bearing,match
accum_add_32__L159,accum_add_32,accum_n_distinct,159,s_waitcnt vmcnt(8),vmcnt,10,10,0,0,0,load_bearing,match
accum_add_32__L162,accum_add_32,accum_n_distinct,162,s_waitcnt vmcnt(6),vmcnt,8,8,0,0,0,load_bearing,match
accum_add_32__L164,accum_add_32,accum_n_distinct,164,s_waitcnt vmcnt(4),vmcnt,6,6,0,0,0,load_bearing,match
accum_add_32__L167,accum_add_32,accum_n_distinct,167,s_waitcnt vmcnt(2),vmcnt,4,4,0,0,0,load_bearing,match
accum_add_32__L169,accum_add_32,accum_n_distinct,169,s_waitcnt vmcnt(0),vmcnt,2,2,0,0,0,load_bearing,divergent
accum_add_4__L39,accum_add_4,accum_n_distinct,39,s_waitcnt vmcnt(2),vmcnt,4,4,0,0,0,load_bearing,divergent
accum_add_4__L41,accum_add_4,accum_n_distinct,41,s_waitcnt vmcnt(0),vmcnt,2,2,0,0,0,load_bearing,match
accum_add_64__L85,accum_add_64,accum_n_distinct,85,s_waitcnt lgkmcnt(0),lgkmcnt,0,0,5,0,0,load_bearing,divergent
accum_add_64__L253,accum_add_64,accum_n_distinct,253,s_waitcnt lgkmcnt(0),lgkmcnt,62,62,1,0,0,load_bearing,match
accum_add_64__L260,accum_add_64,accum_n_distinct,260,s_waitcnt vmcnt(62),vmcnt,64,64,0,0,0,load_bearing,match
accum_add_64__L262,accum_add_64,accum_n_distinct,262,s_waitcnt vmcnt(60),vmcnt,62,62,0,0,0,load_bearing,match
accum_add_64__L265,accum_add_64,accum_n_distinct,265,s_waitcnt vmcnt(58),vmcnt,60,60,0,0,0,load_bearing,match
accum_add_64__L267,accum_add_64,accum_n_distinct,267,s_waitcnt vmcnt(56),vmcnt,58,58,0,0,0,load_bearing,match
accum_add_64__L270,accum_add_64,accum_n_distinct,270,s_waitcnt vmcnt(54),vmcnt,56,56,0,0,0,load_bearing,match
accum_add_64__L272,accum_add_64,accum_n_distinct,272,s_waitcnt vmcnt(52),vmcnt,54,54,0,0,0,load_bearing,match
accum_add_64__L275,accum_add_64,accum_n_distinct,275,s_waitcnt vmcnt(50),vmcnt,52,52,0,0,0,load_bearing,match
accum_add_64__L277,accum_add_64,accum_n_distinct,277,s_waitcnt vmcnt(48),vmcnt,50,50,0,0,0,load_bearing,match
accum_add_64__L280,accum_add_64,accum_n_distinct,280,s_waitcnt vmcnt(46),vmcnt,48,48,0,0,0,load_bearing,match
accum_add_64__L282,accum_add_64,accum_n_distinct,282,s_waitcnt vmcnt(44),vmcnt,46,46,0,0,0,load_bearing,match
accum_add_64__L285,accum_add_64,accum_n_distinct,285,s_waitcnt vmcnt(42),vmcnt,44,44,0,0,0,load_bearing,match
accum_add_64__L287,accum_add_64,accum_n_distinct,287,s_waitcnt vmcnt(40),vmcnt,42,42,0,0,0,load_bearing,match
accum_add_64__L290,accum_add_64,accum_n_distinct,290,s_waitcnt vmcnt(38),vmcnt,40,40,0,0,0,load_bearing,match
accum_add_64__L292,accum_add_64,accum_n_distinct,292,s_waitcnt vmcnt(36),vmcnt,38,38,0,0,0,load_bearing,match
