kernel,waitcnt_line,original_matches_expected,mutant_matches_original,mutant_matches_expected,notes
accum_add_16,17,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_add_16,47,yes,skip,skip,launcher rc=124 launcher timeout after 30s: 
accum_add_16,80,yes,yes,yes,
accum_add_16,82,yes,yes,yes,
accum_add_16,85,yes,no,no,v5 lane00 orig=ead01100 mut=5d966fb4 (32 lanes differ)
accum_add_16,87,yes,yes,yes,
accum_add_16,90,yes,no,no,v5 lane00 orig=ead01100 mut=0c2310e0 (32 lanes differ)
accum_add_16,92,yes,yes,yes,
accum_add_16,95,yes,yes,yes,
accum_add_16,97,yes,yes,yes,
accum_add_32,20,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_add_32,86,yes,yes,yes,
accum_add_32,132,yes,yes,yes,
accum_add_32,134,yes,yes,yes,
accum_add_32,137,yes,yes,yes,
accum_add_32,139,yes,yes,yes,
accum_add_32,142,yes,yes,yes,
accum_add_32,144,yes,yes,yes,
accum_add_32,147,yes,yes,yes,
accum_add_32,149,yes,yes,yes,
accum_add_32,152,yes,yes,yes,
accum_add_32,154,yes,yes,yes,
accum_add_32,157,yes,yes,yes,
accum_add_32,159,yes,yes,yes,
accum_add_32,162,yes,yes,yes,
accum_add_32,164,yes,yes,yes,
accum_add_32,167,yes,yes,yes,
accum_add_32,169,yes,no,no,v5 lane00 orig=d5a04200 mut=f6f3aea9 (32 lanes differ)
accum_add_4,15,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_add_4,30,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_add_4,39,yes,no,no,v5 lane00 orig=7ab40140 mut=9c070100 (32 lanes differ)
accum_add_4,41,yes,yes,yes,
accum_add_64,21,yes,skip,skip,launcher rc=124 launcher timeout after 30s: 
accum_add_64,42,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
