Scoring 112 unmodified kernels
[1/112] accum_add_16 (accum_n_distinct): CLEAN
[2/112] accum_add_32 (accum_n_distinct): CLEAN
[3/112] accum_add_4 (accum_n_distinct): CLEAN
[4/112] accum_add_64 (accum_n_distinct): CLEAN
[5/112] accum_add_8 (accum_n_distinct): CLEAN
[6/112] accum_add_96 (accum_n_distinct): CLEAN
[7/112] accum_and_16 (accum_n_distinct): CLEAN
[8/112] accum_and_32 (accum_n_distinct): CLEAN
[9/112] accum_and_4 (accum_n_distinct): CLEAN
[10/112] accum_and_64 (accum_n_distinct): CLEAN
[11/112] accum_and_8 (accum_n_distinct): CLEAN
[12/112] accum_and_96 (accum_n_distinct): CLEAN
[13/112] accum_or_16 (accum_n_distinct): CLEAN
[14/112] accum_or_32 (accum_n_distinct): CLEAN
[15/112] accum_or_4 (accum_n_distinct): CLEAN
[16/112] accum_or_64 (accum_n_distinct): CLEAN
[17/112] accum_or_8 (accum_n_distinct): CLEAN
[18/112] accum_or_96 (accum_n_distinct): CLEAN
[19/112] accum_sub_16 (accum_n_distinct): CLEAN
[20/112] accum_sub_32 (accum_n_distinct): CLEAN
[21/112] accum_sub_4 (accum_n_distinct): CLEAN
[22/112] accum_sub_64 (accum_n_distinct): CLEAN
[23/112] accum_sub_8 (accum_n_distinct): CLEAN
[24/112] accum_sub_96 (accum_n_distinct): CLEAN
[25/112] accum_xor_16 (accum_n_distinct): CLEAN
[26/112] accum_xor_32 (accum_n_distinct): CLEAN
[27/112] accum_xor_4 (accum_n_distinct): CLEAN
[28/112] accum_xor_64 (accum_n_distinct): CLEAN
[29/112] accum_xor_8 (accum_n_distinct): CLEAN
[30/112] accum_xor_96 (accum_n_distinct): CLEAN
[31/112] deep_chain_16 (deep_chain): CLEAN
[32/112] deep_chain_32 (deep_chain): CLEAN
[33/112] deep_chain_64 (deep_chain): CLEAN
[34/112] load_compute_store_16 (load_compute_store): CLEAN
[35/112] load_compute_store_4 (load_compute_store): CLEAN
[36/112] load_compute_store_8 (load_compute_store): CLEAN
[37/112] load_overwrite (load_overwrite): CLEAN
[38/112] loop_accum_add_128 (loop_accum): CLEAN
[39/112] loop_accum_add_16 (loop_accum): CLEAN
[40/112] loop_accum_add_32 (loop_accum): CLEAN
[41/112] loop_accum_add_64 (loop_accum): CLEAN
[42/112] loop_accum_add_8 (loop_accum): CLEAN
[43/112] loop_accum_xor_128 (loop_accum): CLEAN
[44/112] loop_accum_xor_16 (loop_accum): CLEAN
[45/112] loop_accum_xor_32 (loop_accum): CLEAN
[46/112] loop_accum_xor_64 (loop_accum): CLEAN
[47/112] loop_accum_xor_8 (loop_accum): CLEAN
[48/112] mixed_add_c0x2A_add_c1 (mixed_const): CLEAN
[49/112] mixed_add_c0x2A_xor_c0x2A (mixed_const): CLEAN
[50/112] mixed_add_c0x2A_xor_c1 (mixed_const): CLEAN
[51/112] mixed_add_c1_add_c0x2A (mixed_const): CLEAN
[52/112] mixed_add_c1_add_c1 (mixed_const): CLEAN
[53/112] mixed_add_c1_xor_c0x2A (mixed_const): CLEAN
[54/112] mixed_add_c1_xor_c1 (mixed_const): CLEAN
[55/112] mixed_xor_c0x2A_add_c0x2A (mixed_const): CLEAN
[56/112] mixed_xor_c0x2A_add_c1 (mixed_const): CLEAN
[57/112] mixed_xor_c0x2A_xor_c0x2A (mixed_const): CLEAN
[58/112] mixed_xor_c0x2A_xor_c1 (mixed_const): CLEAN
[59/112] mixed_xor_c1_add_c0x2A (mixed_const): CLEAN
[60/112] mixed_xor_c1_add_c1 (mixed_const): CLEAN
[61/112] mixed_xor_c1_xor_c0x2A (mixed_const): CLEAN
[62/112] mixed_xor_c1_xor_c1 (mixed_const): CLEAN
[63/112] regs_pressure_32 (regs_pressure): CLEAN
[64/112] regs_pressure_64 (regs_pressure): CLEAN
[65/112] rmw_add_c0x2A (rmw): CLEAN
[66/112] rmw_add_c1 (rmw): CLEAN
[67/112] rmw_add_c7 (rmw): CLEAN
[68/112] rmw_and_c0x2A (rmw): CLEAN
[69/112] rmw_and_c1 (rmw): CLEAN
[70/112] rmw_and_c7 (rmw): CLEAN
[71/112] rmw_idx_add_c0x2A_i0 (rmw_idx): CLEAN
[72/112] rmw_idx_add_c0x2A_i1 (rmw_idx): CLEAN
[73/112] rmw_idx_add_c0x2A_i8 (rmw_idx): CLEAN
