family,n_kernels,vmcnt_total,vmcnt_N0_pct,vmcnt_partial_pct,vmcnt_max_N,lgkmcnt_total,lgkmcnt_N0_pct,vscnt_total,vscnt_N0_pct
regs_pressure,3,159,3.77,96.23,62,6,100.00,6,100.00
accum_and,9,222,6.76,93.24,62,37,100.00,27,100.00
loop_accum,15,297,10.10,89.90,62,30,100.00,45,100.00
mixed_loads,3,56,10.71,89.29,30,62,19.35,6,100.00
accum_add,9,105,14.29,85.71,62,37,100.00,27,100.00
accum_or,9,105,14.29,85.71,62,37,100.00,27,100.00
accum_sub,9,105,14.29,85.71,62,37,100.00,27,100.00
accum_xor,9,105,14.29,85.71,62,37,100.00,27,100.00
accum_plain,5,724,56.63,43.37,62,540,99.81,35,100.00
misc,5,8,100.00,0.00,0,12,100.00,10,100.00
chain,30,30,100.00,0.00,0,90,100.00,150,100.00
deep_chain,3,118,100.00,0.00,0,6,100.00,6,100.00
load_compute_store,3,31,100.00,0.00,0,11,100.00,6,100.00
mixed_const,112,218,100.00,0.00,0,224,100.00,512,100.00
rmw,34,68,100.00,0.00,0,68,100.00,98,100.00
rmw_idx,72,108,100.00,0.00,0,180,100.00,324,100.00
store_chain,5,5,100.00,0.00,0,17,100.00,10,100.00
storeload,13,13,100.00,0.00,0,26,100.00,47,100.00
two_buf,11,22,100.00,0.00,0,33,100.00,37,100.00
